timestamp;mercado;token_seguido;tiempo_total_sesion;tiempo_ejecucion_fase3;pnl_final;inventario_final;max_inventario;cash_final;gamma_base;kappa_fallback_config;kappa_estimada_promedio;n_layers;tick_layers;q_factor_vol;r_factor_spread;warmup_ticks;q_base_calibrado;r_base_calibrado;sigma_base_calibrado;bid_colocados_capa_0;ask_colocados_capa_0;bid_ejecutados_capa_0;ask_ejecutados_capa_0;bid_colocados_capa_1;ask_colocados_capa_1;bid_ejecutados_capa_1;ask_ejecutados_capa_1;bid_colocados_capa_2;ask_colocados_capa_2;bid_ejecutados_capa_2;ask_ejecutados_capa_2
2025-11-16 14:47:45;btc updown 15m 1763300700?;Up;64.07;35.89;-0.95678;7;10;-3.49186;0.3;40;40.0;3;0.003;10.0;50.0;20;[1.93770000e-04 1.00000000e-06 2.23332049e+05 1.08547493e+05];[3.32500000e-05 1.88572262e+05];0.01;8;11;4;1;8;11;3;1;8;11;3;1
2025-11-16 14:51:36;btc updown 15m 1763300700?;Up;45.75;17.91;-0.02912;-3;10;2.31162;0.3;40;40.0;3;0.003;10.0;50.0;20;[6.21800000e-05 1.00000000e-06 1.61400980e+05 1.24186688e+05];[1.00000000e-06 2.19260337e+05];0.01;7;7;0;1;7;7;0;1;7;7;0;1
2025-11-16 14:58:13;btc updown 15m 1763300700?;Up;0.97;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 14:58:43;btc updown 15m 1763300700?;Up;3.12;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 14:59:04;btc updown 15m 1763301600?;Up;9.62;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 15:05:27;btc updown 15m 1763301600?;Up;226.35;180.44;1.09322;-3;10;3.269;0.3;45.0;True;3;0.003;10.0;50.0;20;[1.00000000e-06 1.74810000e-04 1.91403415e+04 1.24631554e+04];[1.00000000e-06 1.96611508e+04];0.01;63;66;5;7;63;66;5;7;63;66;4;3
2025-11-16 15:11:33;btc updown 15m 1763301600?;Up;160.77;129.13;-0.84546;1;10;-1.45207;0.3;45.0;True;3;0.003;10.0;50.0;20;[6.51400000e-05 1.43600000e-05 2.21427562e+06 6.61234797e+05];[1.00000000e-06 1.65236559e+06];0.01;48;48;10;10;48;48;10;9;48;48;9;9
2025-11-16 15:24:48;btc updown 15m 1763302500?;Up;4.84;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 15:48:07;btc updown 15m 1763304300?;Up;12.77;0;0.0;0;10;0.0;0.3;;False;3;0.003;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 16:03:13;btc updown 15m 1763305200?;Up;309.09;180.51;-2.72492;2;10;-2.98948;0.3;110.1721;False;3;0.01;10.0;50.0;20;[1.00000000e-06 1.00000000e-06 4.53738432e+04 4.50038916e+04];[2.8400000e-06 7.5967994e+04];0.01;78;86;11;10;78;86;4;3;78;86;1;1
2025-11-16 16:09:45;btc updown 15m 1763305200?;Up;288.71;241.55;-3.89158;1;10;-4.11486;0.1;50;True;3;0.01;10.0;50.0;20;[1.00000000e-06 1.00000000e-06 3.94236249e+04 4.28090418e+04];[1.47180000e-04 5.07705104e+04];0.01;102;103;16;18;102;103;12;11;102;103;8;6
2025-11-16 16:24:42;btc updown 15m 1763307000?;Up;559.9;0;0.0;0;10;0.0;0.1;;False;3;0.01;10.0;10.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 16:27:14;btc updown 15m 1763307000?;Up;113.03;0;0.0;0;10;0.0;0.9;;False;3;0.01;10.0;10.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 18:39:42;btc updown 15m 1763314200?;Up;299.98;240.64;-0.81369;-1;10;-0.73668;0.3;50;True;3;0.01;10.0;50.0;20;[1.00000000e-06 3.50910000e-04 2.03515968e+04 2.60301181e+04];[1.00000000e-06 4.22169741e+04];0.01465452;69;69;7;9;69;69;4;6;69;69;4;1
2025-11-16 18:43:48;btc updown 15m 1763314200?;Up;207.54;148.83;0.00878;-1;10;0.01868;0.3;50;True;3;0.01;10.0;50.0;20;[1.00000000e-06 1.00000000e-06 1.15501106e+04 1.05274790e+04];[5.23500000e-05 2.00945731e+04];0.00438089;18;18;0;1;18;18;0;0;18;18;0;0
2025-11-16 18:47:54;btc updown 15m 1763316000?;Up;218.1;0;0.0;0;10;0.0;0.8;;False;3;0.01;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 18:52:08;btc updown 15m 1763315100?;Up;224.37;180.03;-0.67816;2;10;-2.08002;0.8;50;True;3;0.01;10.0;50.0;20;[2.21000000e-04 1.00000000e-06 2.49181068e+04 2.46414253e+04];[7.82000000e-06 3.85417006e+04];0.01460186;52;52;9;10;52;52;6;3;52;52;2;2
2025-11-16 18:57:14;btc updown 15m 1763315100?;Up;268.72;180.59;-5.2492;-2;10;-4.74714;0.5;50;True;3;0.01;10.0;50.0;20;[1.00000000e-06 6.75800000e-05 1.09128622e+05 1.14504065e+05];[1.95800000e-05 1.14194331e+05];0.01123374;79;79;18;19;79;79;14;17;79;79;12;10
2025-11-16 18:59:54;btc updown 15m 1763316000?;Up;132.73;0;0.0;0;10;0.0;0.1;;False;3;0.01;10.0;50.0;20;;;;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-16 19:03:46;btc updown 15m 1763316000?;Up;216.2;180.41;-1.46476;7;10;-6.98694;0.1;358.2194;False;3;0.01;10.0;50.0;20;[8.10300000e-05 8.00000000e-06 1.33271133e+04 1.18041609e+04];[1.84900000e-04 2.60820691e+04];0.0172521;72;72;19;20;72;72;14;11;72;72;10;5
2025-11-16 19:10:00;btc updown 15m 1763316000?;Up;242.08;182.23;0.02405;0;10;0.02405;1e-05;50;True;3;0.01;10.0;50.0;20;[1.00000000e-06 2.65290000e-04 2.67390219e+05 2.48086252e+05];[1.00000000e-06 3.77967307e+05];0.01156097;48;48;2;2;48;48;1;1;48;48;0;0
2025-11-16 19:16:48;btc updown 15m 1763316900?;Up;385.53;181.75;-0.34999;4;10;-1.87942;1e-05;31.1946;False;3;0.01;10.0;50.0;20;[1.00000000e-06 1.00000000e-06 1.71873351e+05 4.21192353e+03];[1.e-06 1.e-06];0.00137465;64;64;3;2;64;64;2;0;64;64;1;0
2025-11-16 19:21:26;btc updown 15m 1763316900?;Up;237.85;180.67;-1.23393;6;10;-2.45909;1e-05;50;True;3;0.01;10.0;30.0;20;[9.03300000e-05 5.33800000e-05 6.59399638e+04 8.96585059e+04];[1.00000000e-06 1.03637908e+05];0.01359769;49;49;13;9;49;49;5;3;49;49;1;1
2025-11-16 19:26:07;btc updown 15m 1763316900?;Up;229.56;181.23;0.46404;-8;10;0.8784;1e-05;50;True;3;0.01;10.0;10.0;20;[1.14010000e-04 1.00000000e-06 1.70311090e+05 1.87543101e+05];[1.00000000e-06 2.00668228e+05];0.01047445;61;50;3;7;61;50;1;4;61;50;0;1
2025-11-16 19:32:52;btc updown 15m 1763317800?;Up;322.95;181.97;-0.6959;3;10;-1.63919;1;29.9929;False;3;0.01;10.0;100.0;20;[1.00000000e-06 1.00000000e-06 5.14012677e+04 9.47725913e+03];[1.00000000e-06 5.84946475e+04];0.00164356;66;66;8;6;66;66;4;2;66;66;1;2
2025-11-16 19:37:06;btc updown 15m 1763317800?;Up;239.27;180.15;-1.59896;10;10;-3.50459;0.001;50;True;3;0.01;10.0;100.0;20;[1.00000000e-06 1.11000000e-06 5.24119714e+04 2.69641837e+04];[1.73840000e-04 7.59315658e+04];0.00926808;24;41;8;2;24;41;4;1;24;41;2;1
2025-11-16 19:46:56;btc updown 15m 1763318700?;Up;383.55;182.24;-0.27722;3;10;-1.29905;0.001;30.6512;False;3;0.01;30.0;50.0;20;[1.00000000e-06 1.00000000e-06 3.82329404e+04 5.30296734e+04];[1.e-06 1.e-06];2.38e-06;60;60;7;7;60;60;3;3;60;60;3;0
2025-12-08 10:25:02;btc updown 15m 1765185300?;Up;209.51;181.17;-0.44892;-1;10;-0.24487;0.001;50;True;1;0.01;30.0;50.0;20;[1.46090000e-04 1.00000000e-06 6.29468703e+04 5.81912402e+04];[1.00000000e-06 1.06231948e+05];0.0117565;78;78;13;14
2025-12-08 10:34:08;btc updown 15m 1765186200?;Up;206.57;180.13;-1.1025;-6;10;2.27656;0.3;50;True;1;0.01;30.0;50.0;20;[1.00000000e-06 1.00000000e-06 1.14494445e+05 1.20282794e+05];[6.89600000e-05 2.11416372e+05];0.00446836;63;63;12;18
2025-12-08 11:20:28;btc updown 15m 1765188900?;Up;49.87;28.01;-0.01216;0;10;-0.01216;0.001;50;True;30.0;50.0;20;[1.00000000e-06 1.00000000e-06 3.01003667e+04 3.62854292e+04];[1.08101000e-03 5.66990273e+04];0.004755;28;28;4;4
2025-12-08 12:07:40;btc updown 15m 1765191600?;Up;205.5;180.31;-0.17535;-4;20;1.19989;0.001;50;True;30.0;50.0;20;[4.99500000e-05 3.65000000e-06 1.20902482e+05 5.67439516e+04];[1.00000000e-06 9.79015678e+04];0.00776168;169;169;8;12
2025-12-08 12:11:59;btc updown 15m 1765191600?;Up;200.84;180.41;-0.1917;-13;20;6.04073;0.001;50;True;30.0;50.0;20;[1.00000000e-06 9.47700000e-05 4.94028066e+04 2.78518970e+04];[1.00000000e-06 4.78533487e+04];0.00625103;162;162;9;22
2025-12-08 12:18:20;btc updown 15m 1765192500?;Up;231.19;181.05;-0.16031;-1;20;0.335;0.001;66.0363;False;30.0;50.0;20;[2.18000000e-06 1.00000000e-06 2.64242705e+02 3.02680523e+02];[1.00000000e-06 3.11889987e+02];0.00207337;157;157;11;12
2025-12-08 12:39:53;btc updown 15m 1765194300?;Up;True;37.63;0;0.0;0;20;0.0;0.001;;False;30.0;50.0;20;;;;0;0;0;0
2025-12-08 12:41:27;btc updown 15m 1765194300?;Up;True;9.28;0;0.0;0;20;0.0;0.001;;False;30.0;50.0;20;;;;0;0;0;0
2025-12-08 12:45:12;btc updown 15m 1765194300?;True;0.0;0;
2025-12-08 13:35:44;btc updown 15m 1765197000?;False;-2.58047;1;50
2025-12-08 13:44:22;btc updown 15m 1765197000?;Up;False;0.17437;-3;0.20414;50
